module,syn mode,clk,slack,TNS,Comb cell count,Seq cell count,Comb area, Seq area,Design Area,% area impr
module_L,flat,o_da4_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da5_rx_clk,0.01,0.00,,,,,,
module_L,flat,o_da5_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da6_rx_clk,0.00,0.00,,,,,,
module_L,flat,o_da6_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da7_rx_clk,0.06,0.00,,,,,,
module_L,flat,o_da7_tx_clk,0.57,0.00,,,,,,
module_L,flat,o_da8_rx_clk,0.05,0.00,,,,,,
module_L,flat,o_da8_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da9_rx_clk,0.10,0.00,,,,,,
module_L,flat,o_da9_tx_clk,0.49,0.00,,,,,,
module_L,flat,o_da10_rx_clk,0.09,0.00,,,,,,
module_L,flat,o_da10_tx_clk,0.24,0.00,,,,,,
module_L,flat,o_da11_rx_clk,0.01,0.00,,,,,,
module_L,flat,o_da11_tx_clk,0.57,0.00,,,,,,
module_P,hier,clk_ncg,0.04,0.00,87309,62431,18146.954835,100236.271774,20787305.242235,0.0862513457376
module_P,flat,clk_ncg,0.00,0.00,800,62431,217.624321,100236.271774,20769375.911721,0.0862513457376
module_A,hier,clk_ncg,-0.08,-49.26,170991,28018,50170.804705,42898.637426,805425.661812,2.14316880048
module_A,flat,clk_ncg,0.00,0.00,118164,28009,32905.440715,42902.369921,788164.030317,2.14316880048
module_J,hier,clk_ncg,0.00,0.00,736304,144862,219963.914256,210626.230095,15420640.737330,0.434884227519
module_J,flat,clk_ncg,0.00,0.00,473992,144864,152895.914622,210632.295379,15353578.802981,0.434884227519
